	num_leaves	dir_conc	cell_pop	coverage	num_single_cells	read_len	frag_len	paired	exome	poisson_time	error_rate	tumor_num	sample_num	aggregate_tumor	true_positive	false_positive	missed_mutation
0	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 False	 12646277943.478498	 1e-05	0	0	-1	16	48985	107
1	 5	 10	 800000000.0	 2	 0	 2000	 3000	 True	 False	 12646277943.478498	 0.0	0	1	-1	16	18	107
2	 5	 10	 800000000.0	 5	 0	 500	 1000	 True	 False	 12646277943.478498	 1e-05	0	2	-1	0	41	123
3	 5	 10	 800000000.0	 10	 0	 500	 1000	 True	 False	 12646277943.478498	 0.0	0	3	-1	0	43	123
4	 5	 10	 800000000.0	 2	 0	 500	 1000	 True	 True	 12646277943.478498	 0.0	0	4	-1	0	23	123
5	 5	 10	 800000000.0	 25	 0	 150	 200	 True	 False	 12646277943.478498	 0.001	0	5	-1	50	833598	73
6	 5	 10	 800000000.0	 15	 0	 150	 200	 True	 True	 12646277943.478498	 0.0	0	6	-1	2	22	121
7	 5	 10	 800000000.0	 10	 0	 2000	 3000	 True	 False	 12646277943.478498	 0.0	0	7	-1	41	10	82
8	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 True	 12646277943.478498	 1e-05	0	8	-1	1	639	122
9	 5	 10	 800000000.0	 15	 0	 500	 1000	 True	 False	 12646277943.478498	 1e-05	0	9	-1	0	30	123
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	57	883274	66
