	num_leaves	dir_conc	cell_pop	coverage	num_single_cells	read_len	frag_len	paired	exome	poisson_time	error_rate	tumor_num	sample_num	aggregate_tumor	del metric	inv metric
0	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 False	 12646277943.478498	 1e-05	0	0	-1	0.05088828666064438	0.08464743589743591
1	 5	 10	 800000000.0	 2	 0	 2000	 3000	 True	 False	 12646277943.478498	 0.0	0	1	-1	0.05040574282147315	0.08339841207861513
2	 5	 10	 800000000.0	 5	 0	 500	 1000	 True	 False	 12646277943.478498	 1e-05	0	2	-1	0.23277117791785645	0.4997659869705308
3	 5	 10	 800000000.0	 10	 0	 500	 1000	 True	 False	 12646277943.478498	 0.0	0	3	-1	0.4189027104455158	0.4643897311267986
4	 5	 10	 800000000.0	 2	 0	 500	 1000	 True	 True	 12646277943.478498	 0.0	0	4	-1	0.050505050505050504	0.12609245214879017
5	 5	 10	 800000000.0	 25	 0	 150	 200	 True	 False	 12646277943.478498	 0.001	0	5	-1	0.05040574282147315	0.08339841207861513
6	 5	 10	 800000000.0	 15	 0	 150	 200	 True	 True	 12646277943.478498	 0.0	0	6	-1	0.05040574282147315	0.08339841207861513
7	 5	 10	 800000000.0	 10	 0	 2000	 3000	 True	 False	 12646277943.478498	 0.0	0	7	-1	0.1381443166177196	0.08339841207861513
8	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 True	 12646277943.478498	 1e-05	0	8	-1	0.05040574282147315	0.08339841207861513
9	 5	 10	 800000000.0	 15	 0	 500	 1000	 True	 False	 12646277943.478498	 1e-05	0	9	-1	0.45178388271558906	0.46887283178496975
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.5661337443974047	0.5274763459767228
