	num_leaves	dir_conc	cell_pop	coverage	num_single_cells	read_len	frag_len	paired	exome	poisson_time	error_rate	tumor_num	sample_num	aggregate_tumor	del metric	inv metric
0	 5	 10	 800000000.0	 5	 0	 150	 200	 True	 False	 13650027183.9374	 0.0	0	0	-1	0.0	0.0
1	 5	 10	 800000000.0	 25	 0	 150	 200	 True	 False	 13650027183.9374	 0.0	0	1	-1	0.0	0.0
2	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 True	 13650027183.9374	 0.0001	0	2	-1	0.0	0.0
3	 5	 10	 800000000.0	 2	 0	 500	 1000	 True	 True	 13650027183.9374	 0.0001	0	3	-1	0.0	0.00909090909090909
4	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 True	 13650027183.9374	 0.0	0	4	-1	0.0	0.0
5	 5	 10	 800000000.0	 15	 0	 2000	 3000	 True	 True	 13650027183.9374	 0.001	0	5	-1	0.14603071203669798	0.0
6	 5	 10	 800000000.0	 5	 0	 150	 200	 True	 False	 13650027183.9374	 1e-05	0	6	-1	0.0	0.0
7	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 True	 13650027183.9374	 0.0	0	7	-1	0.0	0.0
8	 5	 10	 800000000.0	 30	 0	 75	 150	 True	 True	 13650027183.9374	 0.0	0	8	-1	0.0	0.0
9	 5	 10	 800000000.0	 25	 0	 500	 1000	 True	 True	 13650027183.9374	 0.001	0	9	-1	0.10881661402912404	0.2501376178750437
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.21824088547907572	0.2463524479444257
