	num_leaves	dir_conc	cell_pop	coverage	num_single_cells	read_len	frag_len	paired	exome	poisson_time	error_rate	tumor_num	sample_num	aggregate_tumor	true_positive	false_positive	missed_mutation
0	 5	 10	 800000000.0	 5	 0	 150	 200	 True	 False	 13650027183.9374	 0.0	0	0	-1	20	8	38
1	 5	 10	 800000000.0	 25	 0	 150	 200	 True	 False	 13650027183.9374	 0.0	0	1	-1	41	15	17
2	 5	 10	 800000000.0	 2	 0	 75	 150	 True	 True	 13650027183.9374	 0.0001	0	2	-1	0	5855	58
3	 5	 10	 800000000.0	 2	 0	 500	 1000	 True	 True	 13650027183.9374	 0.0001	0	3	-1	0	0	58
4	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 True	 13650027183.9374	 0.0	0	4	-1	2	2	56
5	 5	 10	 800000000.0	 15	 0	 2000	 3000	 True	 True	 13650027183.9374	 0.001	0	5	-1	6	1253000	52
6	 5	 10	 800000000.0	 5	 0	 150	 200	 True	 False	 13650027183.9374	 1e-05	0	6	-1	18	4820	40
7	 5	 10	 800000000.0	 30	 0	 150	 200	 True	 True	 13650027183.9374	 0.0	0	7	-1	0	0	58
8	 5	 10	 800000000.0	 30	 0	 75	 150	 True	 True	 13650027183.9374	 0.0	0	8	-1	0	2	58
9	 5	 10	 800000000.0	 25	 0	 500	 1000	 True	 True	 13650027183.9374	 0.001	0	9	-1	0	10	58
10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	41	1263692	17
